Format,Extension,Category,Proposed Preservation Action,Preservation Level
Clock RINEX File Format,.clk,15. Text (Structured),Original,Full
Comma Separated Values,.csv,15. Text (Structured),Original,Full
Data Interchange Format,.dif,15. Text (Structured),Original,Watch
JSON Data Interchange Format,.json,15. Text (Structured),Original,Full
Leaner Style Sheets,.less,15. Text (Structured),Original,Full
MD5 File,.md5,15. Text (Structured),Original,Full
OPML File,.opml,15. Text (Structured),Original,Full
Prime OCR,.pro,15. Text (Structured),Original,Basic
PrimeOCR,.pro,15. Text (Structured),Original,Basic
Protein Data Bank File,.pdb,15. Text (Structured),Original,Watch
QGIS Spatial Index File,.qix,15. Text (Structured),Original,Watch
RINEX Observation File,.obs,15. Text (Structured),Original,Full
Standard for the Exchange of Product model data,".step, .stp",15. Text (Structured),Original,Basic
Structured Query Language Data,.sql,15. Text (Structured),Original,Full
Subsurface Material Properties File,.mprops,15. Text (Structured),Original,Full
Surface Domain Properties File,.oprops,15. Text (Structured),Original,Full
Syntactically Awesome Style Sheets,".sass, .scss",15. Text (Structured),Original,Full
Tab-separated Values,".tsv, .tab",15. Text (Structured),Transform to CSV,Full
Text Configuration file,.ini,15. Text (Structured),Original,Full
YAML,".yml, .yaml",15. Text (Structured),Original,Full
7-bit ASCII Text,.asc,16. Text (Unstructured),Original,Full
Plain Text File,.txt,16. Text (Unstructured),Original,Full
Audio/Video Interleaved Format,.avi,17. Video,Transform to Matroska (mkv – video: ffv1 / audio: lcpm),Full
MPEG-1 Program Stream,".mpeg, .mpg",17. Video,Transform to Matroska (mkv – video: ffv1 / audio: lcpm),Full
MPEG-2 Program Stream,".mpeg, .mpg",17. Video,Transform to Matroska (mkv – video: ffv1 / audio: lcpm),Full
MPEG-4 Media File,".mp4, .mpa",17. Video,Transform to Matroska (mkv – video: ffv1 / audio: lcpm),Full
M2TS,".mts, .m2ts",17. Video,Original,Watch
Quicktime,.mov,17. Video,Transform to Matroska (mkv – video: ffv1 / audio: lcpm),Full
Windows Media Video,.wmv,17. Video,Transform to Matroska (mkv – video: ffv1 / audio: lcpm),Full
Microsoft Word (Generic),.doc,18. Word Processing,Transform to ODT,Full
Microsoft Word Document,".docx, .doc",18. Word Processing,Transform to ODT,Full
Microsoft Word for Windows,".docx, .doc",18. Word Processing,Transform to ODT,Full
OpenDocument Text,".odt, .ott",18. Word Processing,Original,Full
Rich Text Format,.rtf,18. Word Processing,Transform to PDF/A,Full
Statistica Report File,.str,18. Word Processing,Transform to PDF/A,Watch
Ventura Publisher,.gen,18. Word Processing,Transform to PDF/A,Watch
Wordcraft Chapter Files,.001,18. Word Processing,Original,Basic
WordStar for Windows Document,.ws,18. Word Processing,Transform to PDF/A,Full
XYWrite Document,.xz,18. Word Processing,Original,Basic
